model,threshold,precision,recall,f1,pr_auc,false_negative_rate,tn,fp,fn,tp
Random Forest (hyperparameter-tuned),0.5,0.9333333333333333,0.8235294117647058,0.875,0.9307405369104367,0.17647058823529413,1446,3,9,42
Random Forest,0.5,0.975,0.7647058823529411,0.8571428571428571,0.9046442284661483,0.23529411764705882,1448,1,12,39
XGBoost,0.5,0.8541666666666666,0.803921568627451,0.8282828282828283,0.8517698809266505,0.19607843137254902,1442,7,10,41
Decision Tree (max_depth=5),0.5,0.9130434782608695,0.8235294117647058,0.865979381443299,0.8322012014261413,0.17647058823529413,1445,4,9,42
Random Forest (class-weighted),0.5,0.5454545454545454,0.8235294117647058,0.65625,0.7874846270792064,0.17647058823529413,1414,35,9,42
Random Forest (weighted),0.22369937504034146,0.30303030303030304,0.9803921568627451,0.46296296296296297,0.7874846270792064,0.0196078431372549,1334,115,1,50
Logistic Regression — baseline,0.5,0.55,0.21568627450980393,0.30985915492957744,0.39642786497022536,0.7843137254901961,1440,9,40,11
